Sample Month,Sample ID,M0_Veh,M2_Veh,M0_M1,M2_M1,M0_PM,M2_PM,M0_M1+PM,M2_M1+PM
March,NBL_191,5.446559973,6.913300189,14.02442533,12.45701872,6.107860709,7.896510446,22.89795208,15.36346097
March,NBL_303,5.431213042,7.015958835,15.32687158,15.82948434,5.623780286,8.014784581,28.96989491,17.12126694
March,NBL_290,5.008911669,7.637609025,58.72046378,39.67456463,8.078522538,9.560929627,89.08905967,61.69236973
March,NBL_291,3.348067121,5.038484939,39.90953526,25.8415545,5.576567155,7.172126628,52.36509622,30.65561554
March,NBL_132,4.265883672,5.776338938,9.70190138,11.9683673,5.181229788,7.527123224,17.50911604,12.54777356
June,NBL_289,3.537034716,4.574414446,14.31779043,17.36148693,6.549928363,8.236155622,18.00569322,19.37566398
June,NBL_273,4.835483964,6.25880577,12.21376901,11.5960712,8.796372591,9.725792991,18.90418384,15.10804272
June,NBL_280,3.379424405,3.640355773,12.24408237,14.43810258,4.431274015,5.520127785,25.95551782,19.17103249
June,NBL_292,3.136396253,2.818250559,18.54296801,19.71846672,5.526616148,4.569795246,31.73385655,21.57751795
June,NBL_288,7.985148234,10.659089,61.07866327,46.50031139,23.40004889,18.29776405,81.5253644,52.34378363
Sept,NBL_312,2.131692844,2.519306375,4.190685455,5.803374101,2.45403016,3.580389575,3.768578495,4.950510202
Sept,IVS_379,4.447478012,6.511772346,11.74719612,12.3059353,6.69413431,8.448717999,13.40654185,10.82123738
Sept,NBL_308,2.266116384,2.867395097,9.860277004,15.26021482,4.322633148,5.358149243,22.05746684,18.52500251
Sept,NBL_310,5.636616902,5.757695252,16.87878096,23.17065338,7.766157275,8.253012072,33.67473085,20.22294928
Dec,NBL_290,10.79612168,16.16272588,65.30048389,75.66776985,18.59768549,22.20243407,93.46498672,85.02341454
Dec,NBL_285,6.619186033,4.32380802,6.567127069,7.984539077,3.316022939,6.001415958,7.356307148,12.98774956
Dec,NBL_314,3.171190153,3.683510426,7.435876569,10.97663855,3.191614794,6.539193255,11.41044625,10.67469409
Dec,IVS_388,5.206990666,7.620582768,27.96005888,22.20232184,6.705017951,7.82446052,21.3842501,17.41727871
