Sample,Assay,Well,Spot,Dilution,Concentration,Signal,Adjusted Signal,Mean,Adj. Sig. Mean,CV,% Recovery,% Recovery Mean,Calc. Concentration,Calc. Conc. Mean,Calc. Conc. CV
IVS_379_M0_M1,Eotaxin,C04,1,4,,7871,7871,7871,7871,NaN,,,287.664724,287.664724,NaN
IVS_379_M0_M1,Eotaxin-3,C04,3,4,,789,789,789,789,NaN,,,38.4726145,38.4726145,NaN
IVS_379_M0_M1,IL-8,C04,7,4,,579188,579188,579188,579188,NaN,,,473223.5261,473223.5261,NaN
IVS_379_M0_M1,IP-10,C04,5,4,,1399811,1399811,1399811,1399811,NaN,,,323782.2744,NaN,NaN
IVS_379_M0_M1,MCP-1,C04,8,4,,1767389,1767389,1767389,1767389,NaN,,,9753.371547,9753.371547,NaN
IVS_379_M0_M1,MCP-4,C04,10,4,,2190,2190,2190,2190,NaN,,,49.01353657,49.01353657,NaN
IVS_379_M0_M1,MDC,C04,9,4,,50034,50034,50034,50034,NaN,,,2620.471644,2620.471644,NaN
IVS_379_M0_M1,MIP-1α,C04,6,4,,1541848,1541848,1541848,1541848,NaN,,,8282.140862,8282.140862,NaN
IVS_379_M0_M1,MIP-1β,C04,2,4,,1619321,1619321,1619321,1619321,NaN,,,6936.081702,6936.081702,NaN
IVS_379_M0_M1,TARC,C04,4,4,,46441,46441,46441,46441,NaN,,,376.5692079,376.5692079,NaN
IVS_379_M0_M1,GM-CSF,C04,1,2,,24276,24276,24276,24276,NaN,,,153.1995496,153.1995496,NaN
IVS_379_M0_M1,IL-12p40,C04,5,2,,37279,37279,37279,37279,NaN,,,445.0484873,445.0484873,NaN
IVS_379_M0_M1,IL-15,C04,6,2,,1689,1689,1689,1689,NaN,,,4.018431624,4.018431624,NaN
IVS_379_M0_M1,IL-16,C04,7,2,,1065,1065,1065,1065,NaN,,,30.3453118,30.3453118,NaN
IVS_379_M0_M1,IL-17,C04,8,2,,929,929,929,929,NaN,,,6.451243925,6.451243925,NaN
IVS_379_M0_M1,IL-1α,C04,2,2,,6032,6032,6032,6032,NaN,,,27.09503335,27.09503335,NaN
IVS_379_M0_M1,IL-5,C04,3,2,,417,417,417,417,NaN,,,0.004535654,0.004535654,NaN
IVS_379_M0_M1,IL-7,C04,4,2,,321,321,321,321,NaN,,,0.438603984,0.438603984,NaN
IVS_379_M0_M1,TNF-β,C04,9,2,,2914,2914,2914,2914,NaN,,,12.07113463,12.07113463,NaN
IVS_379_M0_M1,VEGF,C04,10,2,,52658,52658,52658,52658,NaN,,,467.817273,467.817273,NaN
IVS_379_M0_M1,IFN-γ,C04,1,2,,158889,158889,158889,158889,NaN,,,2741.406363,2741.406363,NaN
IVS_379_M0_M1,IL-10,C04,7,2,,219267,219267,219267,219267,NaN,,,570.7646541,570.7646541,NaN
IVS_379_M0_M1,IL-12p70,C04,8,2,,5866,5866,5866,5866,NaN,,,16.82464369,16.82464369,NaN
IVS_379_M0_M1,IL-13,C04,9,2,,12212,12212,12212,12212,NaN,,,59.92855895,59.92855895,NaN
IVS_379_M0_M1,IL-1β,C04,2,2,,40421,40421,40421,40421,NaN,,,41.11560268,41.11560268,NaN
IVS_379_M0_M1,IL-2,C04,3,2,,2308,2308,2308,2308,NaN,,,3.914190596,3.914190596,NaN
IVS_379_M0_M1,IL-4,C04,4,2,,14582,14582,14582,14582,NaN,,,12.77418507,12.77418507,NaN
IVS_379_M0_M1,IL-6,C04,5,2,,1464481,1464481,1464481,1464481,NaN,,,5833.824664,5833.824664,NaN
IVS_379_M0_M1,IL-8,C04,6,2,,1553489,1553489,1553489,1553489,NaN,,,6749.904186,6749.904186,NaN
IVS_379_M0_M1,TNF-α,C04,10,2,,1799268,1799268,1799268,1799268,NaN,,,7948.433981,7948.433981,NaN
IVS_379_M0_M1+PM,Eotaxin,G04,1,4,,9796,9796,9796,9796,NaN,,,341.5577978,341.5577978,NaN
IVS_379_M0_M1+PM,Eotaxin-3,G04,3,4,,596,596,596,596,NaN,,,26.44576312,26.44576312,NaN
IVS_379_M0_M1+PM,IL-8,G04,7,4,,566233,566233,566233,566233,NaN,,,464493.6644,464493.6644,NaN
IVS_379_M0_M1+PM,IP-10,G04,5,4,,1302374,1302374,1302374,1302374,NaN,,,323782.2744,NaN,NaN
IVS_379_M0_M1+PM,MCP-1,G04,8,4,,1707643,1707643,1707643,1707643,NaN,,,9421.889479,9421.889479,NaN
IVS_379_M0_M1+PM,MCP-4,G04,10,4,,2275,2275,2275,2275,NaN,,,50.48755904,50.48755904,NaN
IVS_379_M0_M1+PM,MDC,G04,9,4,,8849,8849,8849,8849,NaN,,,497.6706777,497.6706777,NaN
IVS_379_M0_M1+PM,MIP-1α,G04,6,4,,1505817,1505817,1505817,1505817,NaN,,,8156.46997,8156.46997,NaN
IVS_379_M0_M1+PM,MIP-1β,G04,2,4,,1602212,1602212,1602212,1602212,NaN,,,6877.406343,6877.406343,NaN
IVS_379_M0_M1+PM,TARC,G04,4,4,,14202,14202,14202,14202,NaN,,,97.47319985,97.47319985,NaN
IVS_379_M0_M1+PM,GM-CSF,G04,1,2,,63802,63802,63802,63802,NaN,,,489.2221957,489.2221957,NaN
IVS_379_M0_M1+PM,IL-12p40,G04,5,2,,27333,27333,27333,27333,NaN,,,301.6048571,301.6048571,NaN
IVS_379_M0_M1+PM,IL-15,G04,6,2,,806,806,806,806,NaN,,,1.451858597,1.451858597,NaN
IVS_379_M0_M1+PM,IL-16,G04,7,2,,442,442,442,442,NaN,,,10.40481126,10.40481126,NaN
IVS_379_M0_M1+PM,IL-17,G04,8,2,,391,391,391,391,NaN,,,1.522357906,1.522357906,NaN
IVS_379_M0_M1+PM,IL-1α,G04,2,2,,11931,11931,11931,11931,NaN,,,60.86829936,60.86829936,NaN
IVS_379_M0_M1+PM,IL-5,G04,3,2,,357,357,357,357,NaN,,,0.000257824,NaN,NaN
IVS_379_M0_M1+PM,IL-7,G04,4,2,,221,221,221,221,NaN,,,0.107883583,0.107883583,NaN
IVS_379_M0_M1+PM,TNF-β,G04,9,2,,1598,1598,1598,1598,NaN,,,5.522702674,5.522702674,NaN
IVS_379_M0_M1+PM,VEGF,G04,10,2,,7321,7321,7321,7321,NaN,,,71.76473231,71.76473231,NaN
IVS_379_M0_M1+PM,IFN-γ,G04,1,2,,252988,252988,252988,252988,NaN,,,4565.355567,4565.355567,NaN
IVS_379_M0_M1+PM,IL-10,G04,7,2,,70621,70621,70621,70621,NaN,,,156.0093891,156.0093891,NaN
IVS_379_M0_M1+PM,IL-12p70,G04,8,2,,7680,7680,7680,7680,NaN,,,23.34016756,23.34016756,NaN
IVS_379_M0_M1+PM,IL-13,G04,9,2,,10595,10595,10595,10595,NaN,,,53.63378595,53.63378595,NaN
IVS_379_M0_M1+PM,IL-1β,G04,2,2,,32848,32848,32848,32848,NaN,,,32.03840174,32.03840174,NaN
IVS_379_M0_M1+PM,IL-2,G04,3,2,,2150,2150,2150,2150,NaN,,,3.521364791,3.521364791,NaN
IVS_379_M0_M1+PM,IL-4,G04,4,2,,14194,14194,14194,14194,NaN,,,12.38185794,12.38185794,NaN
IVS_379_M0_M1+PM,IL-6,G04,5,2,,1432702,1432702,1432702,1432702,NaN,,,5701.926869,5701.926869,NaN
IVS_379_M0_M1+PM,IL-8,G04,6,2,,1553094,1553094,1553094,1553094,NaN,,,6747.906998,6747.906998,NaN
IVS_379_M0_M1+PM,TNF-α,G04,10,2,,1701559,1701559,1701559,1701559,NaN,,,7497.202939,7497.202939,NaN
IVS_379_M0_PM,Eotaxin,E04,1,4,,2713,2713,2713,2713,NaN,,,122.7398542,122.7398542,NaN
IVS_379_M0_PM,Eotaxin-3,E04,3,4,,478,478,478,478,NaN,,,19.4001315,19.4001315,NaN
IVS_379_M0_PM,IL-8,E04,7,4,,519336,519336,519336,519336,NaN,,,432589.7749,432589.7749,NaN
IVS_379_M0_PM,IP-10,E04,5,4,,13709,13709,13709,13709,NaN,,,72.28140781,72.28140781,NaN
IVS_379_M0_PM,MCP-1,E04,8,4,,1746814,1746814,1746814,1746814,NaN,,,9639.209106,9639.209106,NaN
IVS_379_M0_PM,MCP-4,E04,10,4,,20444,20444,20444,20444,NaN,,,252.6409076,252.6409076,NaN
IVS_379_M0_PM,MDC,E04,9,4,,39948,39948,39948,39948,NaN,,,2118.329154,2118.329154,NaN
IVS_379_M0_PM,MIP-1α,E04,6,4,,1494101,1494101,1494101,1494101,NaN,,,8115.384209,8115.384209,NaN
IVS_379_M0_PM,MIP-1β,E04,2,4,,1550418,1550418,1550418,1550418,NaN,,,6699.027051,6699.027051,NaN
IVS_379_M0_PM,TARC,E04,4,4,,21638,21638,21638,21638,NaN,,,159.1474821,159.1474821,NaN
IVS_379_M0_PM,GM-CSF,E04,1,2,,33393,33393,33393,33393,NaN,,,224.8606666,224.8606666,NaN
IVS_379_M0_PM,IL-12p40,E04,5,2,,2096,2096,2096,2096,NaN,,,10.85137585,10.85137585,NaN
IVS_379_M0_PM,IL-15,E04,6,2,,399,399,399,399,NaN,,,0.460494374,0.460494374,NaN
IVS_379_M0_PM,IL-16,E04,7,2,,795,795,795,795,NaN,,,22.12839537,22.12839537,NaN
IVS_379_M0_PM,IL-17,E04,8,2,,160,160,160,160,NaN,,,0.005814708,0.005814708,NaN
IVS_379_M0_PM,IL-1α,E04,2,2,,43664,43664,43664,43664,NaN,,,267.5249611,267.5249611,NaN
IVS_379_M0_PM,IL-5,E04,3,2,,345,345,345,345,NaN,,,0.000257824,NaN,NaN
IVS_379_M0_PM,IL-7,E04,4,2,,165,165,165,165,NaN,,,0.002471699,NaN,NaN
IVS_379_M0_PM,TNF-β,E04,9,2,,366,366,366,366,NaN,,,0.045247921,0.045247921,NaN
IVS_379_M0_PM,VEGF,E04,10,2,,219861,219861,219861,219861,NaN,,,1771.286945,1771.286945,NaN
IVS_379_M0_PM,IFN-γ,E04,1,2,,671,671,671,671,NaN,,,2.120586396,2.120586396,NaN
IVS_379_M0_PM,IL-10,E04,7,2,,211088,211088,211088,211088,NaN,,,546.4922594,546.4922594,NaN
IVS_379_M0_PM,IL-12p70,E04,8,2,,2879,2879,2879,2879,NaN,,,6.806466934,6.806466934,NaN
IVS_379_M0_PM,IL-13,E04,9,2,,4133,4133,4133,4133,NaN,,,25.3229934,25.3229934,NaN
IVS_379_M0_PM,IL-1β,E04,2,2,,79136,79136,79136,79136,NaN,,,89.93483895,89.93483895,NaN
IVS_379_M0_PM,IL-2,E04,3,2,,1457,1457,1457,1457,NaN,,,1.869658235,1.869658235,NaN
IVS_379_M0_PM,IL-4,E04,4,2,,6507,6507,6507,6507,NaN,,,4.991845905,4.991845905,NaN
IVS_379_M0_PM,IL-6,E04,5,2,,653756,653756,653756,653756,NaN,,,2517.996728,2517.996728,NaN
IVS_379_M0_PM,IL-8,E04,6,2,,1499787,1499787,1499787,1499787,NaN,,,6479.15831,6479.15831,NaN
IVS_379_M0_PM,TNF-α,E04,10,2,,324172,324172,324172,324172,NaN,,,1326.569001,1326.569001,NaN
IVS_379_M0_Veh,Eotaxin,A04,1,4,,623,623,623,623,NaN,,,31.88757866,31.88757866,NaN
IVS_379_M0_Veh,Eotaxin-3,A04,3,4,,182,182,182,182,NaN,,,3.401449479,3.401449479,NaN
IVS_379_M0_Veh,IL-8,A04,7,4,,7970,7970,7970,7970,NaN,,,13528.15981,13528.15981,NaN
IVS_379_M0_Veh,IP-10,A04,5,4,,51033,51033,51033,51033,NaN,,,301.6936554,301.6936554,NaN
IVS_379_M0_Veh,MCP-1,A04,8,4,,1719781,1719781,1719781,1719781,NaN,,,9489.227305,9489.227305,NaN
IVS_379_M0_Veh,MCP-4,A04,10,4,,2440,2440,2440,2440,NaN,,,53.29437724,53.29437724,NaN
IVS_379_M0_Veh,MDC,A04,9,4,,50953,50953,50953,50953,NaN,,,2665.874821,2665.874821,NaN
IVS_379_M0_Veh,MIP-1α,A04,6,4,,16852,16852,16852,16852,NaN,,,451.8757218,451.8757218,NaN
IVS_379_M0_Veh,MIP-1β,A04,2,4,,214825,214825,214825,214825,NaN,,,1384.948031,1384.948031,NaN
IVS_379_M0_Veh,TARC,A04,4,4,,11303,11303,11303,11303,NaN,,,74.1524167,74.1524167,NaN
IVS_379_M0_Veh,GM-CSF,A04,1,2,,617,617,617,617,NaN,,,1.258949732,1.258949732,NaN
IVS_379_M0_Veh,IL-12p40,A04,5,2,,223,223,223,223,NaN,,,0.00451758,0.00451758,NaN
IVS_379_M0_Veh,IL-15,A04,6,2,,205,205,205,205,NaN,,,0.081126406,0.081126406,NaN
IVS_379_M0_Veh,IL-16,A04,7,2,,874,874,874,874,NaN,,,24.58137049,24.58137049,NaN
IVS_379_M0_Veh,IL-17,A04,8,2,,143,143,143,143,NaN,,,0.002907354,NaN,NaN
IVS_379_M0_Veh,IL-1α,A04,2,2,,489,489,489,489,NaN,,,0.007095829,NaN,NaN
IVS_379_M0_Veh,IL-5,A04,3,2,,390,390,390,390,NaN,,,0.000257824,NaN,NaN
IVS_379_M0_Veh,IL-7,A04,4,2,,224,224,224,224,NaN,,,0.11671255,0.11671255,NaN
IVS_379_M0_Veh,TNF-β,A04,9,2,,287,287,287,287,NaN,,,0.001080615,NaN,NaN
IVS_379_M0_Veh,VEGF,A04,10,2,,5077,5077,5077,5077,NaN,,,49.91559575,49.91559575,NaN
IVS_379_M0_Veh,IFN-γ,A04,1,2,,612,612,612,612,NaN,,,1.523331987,1.523331987,NaN
IVS_379_M0_Veh,IL-10,A04,7,2,,1760,1760,1760,1760,NaN,,,1.696828087,1.696828087,NaN
IVS_379_M0_Veh,IL-12p70,A04,8,2,,788,788,788,788,NaN,,,0.788064025,0.788064025,NaN
IVS_379_M0_Veh,IL-13,A04,9,2,,7417,7417,7417,7417,NaN,,,40.50825127,40.50825127,NaN
IVS_379_M0_Veh,IL-1β,A04,2,2,,11542,11542,11542,11542,NaN,,,8.013972707,8.013972707,NaN
